symbol,split,observations,mrs_threshold,ree_threshold,wds_freeze,wds_unfreeze,eligible_minutes,eligible_rate,freeze_minutes,freeze_rate,unfreeze_minutes,unfreeze_rate
GBPJPY,validation,9036,55,55,65,35,175,0.01937,50,0.00553,3518,0.38933
GBPJPY,validation,9036,55,55,70,40,175,0.01937,19,0.0021,5119,0.56651
GBPJPY,validation,9036,55,55,75,45,175,0.01937,9,0.001,6675,0.73871
GBPJPY,validation,9036,55,55,80,50,175,0.01937,3,0.00033,7928,0.87738
GBPJPY,validation,9036,55,60,65,35,164,0.01815,50,0.00553,3518,0.38933
GBPJPY,validation,9036,55,60,70,40,164,0.01815,19,0.0021,5119,0.56651
GBPJPY,validation,9036,55,60,75,45,164,0.01815,9,0.001,6675,0.73871
GBPJPY,validation,9036,55,60,80,50,164,0.01815,3,0.00033,7928,0.87738
GBPJPY,validation,9036,60,50,65,35,80,0.00885,50,0.00553,3518,0.38933
GBPJPY,validation,9036,60,50,70,40,80,0.00885,19,0.0021,5119,0.56651
GBPJPY,validation,9036,60,50,75,45,80,0.00885,9,0.001,6675,0.73871
GBPJPY,validation,9036,60,50,80,50,80,0.00885,3,0.00033,7928,0.87738
GBPJPY,validation,9036,60,55,65,35,80,0.00885,50,0.00553,3518,0.38933
GBPJPY,validation,9036,60,55,70,40,80,0.00885,19,0.0021,5119,0.56651
GBPJPY,validation,9036,60,55,75,45,80,0.00885,9,0.001,6675,0.73871
GBPJPY,validation,9036,60,55,80,50,80,0.00885,3,0.00033,7928,0.87738
GBPJPY,validation,9036,60,60,65,35,78,0.00863,50,0.00553,3518,0.38933
GBPJPY,validation,9036,60,60,70,40,78,0.00863,19,0.0021,5119,0.56651
GBPJPY,validation,9036,60,60,75,45,78,0.00863,9,0.001,6675,0.73871
GBPJPY,validation,9036,60,60,80,50,78,0.00863,3,0.00033,7928,0.87738
GBPJPY,validation,9036,65,50,65,35,35,0.00387,50,0.00553,3518,0.38933
GBPJPY,validation,9036,65,50,70,40,35,0.00387,19,0.0021,5119,0.56651
GBPJPY,validation,9036,65,50,75,45,35,0.00387,9,0.001,6675,0.73871
GBPJPY,validation,9036,65,50,80,50,35,0.00387,3,0.00033,7928,0.87738
GBPJPY,validation,9036,65,55,65,35,35,0.00387,50,0.00553,3518,0.38933
GBPJPY,validation,9036,65,55,70,40,35,0.00387,19,0.0021,5119,0.56651
GBPJPY,validation,9036,65,55,75,45,35,0.00387,9,0.001,6675,0.73871
GBPJPY,validation,9036,65,55,80,50,35,0.00387,3,0.00033,7928,0.87738
