symbol,scenario,start,end,duration_minutes,mean_mrs,mean_wds,mean_ree_proxy
XAUUSD,TRANSITION,2026-01-04 20:27:00,2026-01-04 20:29:00,3,38.39,37.79,52.78
XAUUSD,WIDE_RANGE,2026-01-04 20:30:00,2026-01-04 20:30:00,1,27.88,41.6,46.58
XAUUSD,TRANSITION,2026-01-04 20:31:00,2026-01-04 21:25:00,55,26.68,40.01,46.94
XAUUSD,LOW_LIQUIDITY,2026-01-04 21:26:00,2026-01-04 21:42:00,17,46.19,27.29,60.73
XAUUSD,TRANSITION,2026-01-04 21:43:00,2026-01-04 21:54:00,12,24.72,37.94,48.78
XAUUSD,TIGHT_RANGE,2026-01-04 21:55:00,2026-01-04 21:55:00,1,31.01,37.33,52.54
XAUUSD,TRANSITION,2026-01-04 21:56:00,2026-01-04 21:57:00,2,27.23,35.71,51.41
XAUUSD,TIGHT_RANGE,2026-01-04 21:58:00,2026-01-04 22:01:00,4,24.92,36.65,50.02
XAUUSD,TRANSITION,2026-01-04 22:02:00,2026-01-04 22:02:00,1,38.13,28.11,58.83
XAUUSD,LOW_LIQUIDITY,2026-01-04 22:03:00,2026-01-04 22:09:00,7,47.2,20.47,65.96
XAUUSD,TRANSITION,2026-01-04 22:10:00,2026-01-04 22:10:00,1,30.55,22.63,58.21
XAUUSD,LOW_LIQUIDITY,2026-01-04 22:11:00,2026-01-04 22:11:00,1,27.33,27.89,54.93
XAUUSD,TIGHT_RANGE,2026-01-04 22:12:00,2026-01-04 22:12:00,1,23.8,32.43,51.95
XAUUSD,LOW_LIQUIDITY,2026-01-04 22:13:00,2026-01-04 22:13:00,1,32.63,24.96,58.75
XAUUSD,TRANSITION,2026-01-04 22:14:00,2026-01-04 22:53:00,40,24.86,34.56,52.53
XAUUSD,TIGHT_RANGE,2026-01-04 22:54:00,2026-01-04 22:57:00,4,19.36,37.21,48.91
XAUUSD,LOW_LIQUIDITY,2026-01-04 22:58:00,2026-01-04 22:58:00,1,28.02,23.27,57.67
XAUUSD,TRANSITION,2026-01-04 22:59:00,2026-01-04 23:28:00,30,28.31,30.6,54.77
XAUUSD,LOW_LIQUIDITY,2026-01-04 23:29:00,2026-01-04 23:36:00,8,35.51,30.02,58.67
XAUUSD,TIGHT_RANGE,2026-01-04 23:37:00,2026-01-04 23:38:00,2,23.33,43.89,48.14
XAUUSD,LOW_LIQUIDITY,2026-01-04 23:39:00,2026-01-04 23:39:00,1,28.3,36.65,52.82
XAUUSD,TIGHT_RANGE,2026-01-04 23:40:00,2026-01-04 23:40:00,1,24.18,37.01,50.7
XAUUSD,TRANSITION,2026-01-04 23:41:00,2026-01-05 00:38:00,58,27.92,37.35,50.9
XAUUSD,WIDE_RANGE,2026-01-05 00:39:00,2026-01-05 00:43:00,5,22.1,50.45,43.24
XAUUSD,TRANSITION,2026-01-05 00:44:00,2026-01-05 00:46:00,3,29.67,42.08,49.51
XAUUSD,WIDE_RANGE,2026-01-05 00:47:00,2026-01-05 00:47:00,1,32.19,44.57,49.78
XAUUSD,TRANSITION,2026-01-05 00:48:00,2026-01-05 00:50:00,3,39.57,45.63,52.88
XAUUSD,WIDE_RANGE,2026-01-05 00:51:00,2026-01-05 01:00:00,10,30.31,51.34,46.84
XAUUSD,TRANSITION,2026-01-05 01:01:00,2026-01-05 01:34:00,34,43.24,35.48,58.37
XAUUSD,WIDE_RANGE,2026-01-05 01:35:00,2026-01-05 01:49:00,15,26.93,48.16,46.94
XAUUSD,TRANSITION,2026-01-05 01:50:00,2026-01-05 06:36:00,287,29.54,37.17,52.17
XAUUSD,WIDE_RANGE,2026-01-05 06:37:00,2026-01-05 06:39:00,3,32.29,47.96,51.21
XAUUSD,TRANSITION,2026-01-05 06:40:00,2026-01-05 06:41:00,2,34.31,44.45,53.2
XAUUSD,WIDE_RANGE,2026-01-05 06:42:00,2026-01-05 06:45:00,4,28.65,50.05,48.66
XAUUSD,TRANSITION,2026-01-05 06:46:00,2026-01-05 08:09:00,84,31.55,34.57,53.83
XAUUSD,WIDE_RANGE,2026-01-05 08:10:00,2026-01-05 08:20:00,11,22.38,54.12,42.06
XAUUSD,TRANSITION,2026-01-05 08:21:00,2026-01-05 08:30:00,10,37.03,40.83,52.89
XAUUSD,WIDE_RANGE,2026-01-05 08:31:00,2026-01-05 08:41:00,11,28.27,55.36,42.72
XAUUSD,TRANSITION,2026-01-05 08:42:00,2026-01-05 08:42:00,1,39.12,41.18,52.33
XAUUSD,WIDE_RANGE,2026-01-05 08:43:00,2026-01-05 08:44:00,2,32.62,48.45,46.95
XAUUSD,TRANSITION,2026-01-05 08:45:00,2026-01-05 09:39:00,55,37.74,35.39,54.87
XAUUSD,WIDE_RANGE,2026-01-05 09:40:00,2026-01-05 09:40:00,1,27.74,48.48,46.37
XAUUSD,TRANSITION,2026-01-05 09:41:00,2026-01-05 09:43:00,3,24.41,57.91,41.61
XAUUSD,WIDE_RANGE,2026-01-05 09:44:00,2026-01-05 09:44:00,1,32.61,42.87,50.48
XAUUSD,TRANSITION,2026-01-05 09:45:00,2026-01-05 10:02:00,18,44.71,33.92,59.01
XAUUSD,STRONG_TREND_UP,2026-01-05 10:03:00,2026-01-05 10:03:00,1,65.34,18.31,73.29
XAUUSD,TRANSITION,2026-01-05 10:04:00,2026-01-05 11:28:00,85,28.61,40.24,50.14
XAUUSD,TIGHT_RANGE,2026-01-05 11:29:00,2026-01-05 11:29:00,1,15.27,42.94,43.76
XAUUSD,TRANSITION,2026-01-05 11:30:00,2026-01-05 11:32:00,3,22.43,38.47,48.45
XAUUSD,TIGHT_RANGE,2026-01-05 11:33:00,2026-01-05 11:33:00,1,21.85,47.74,44.84
XAUUSD,TRANSITION,2026-01-05 11:34:00,2026-01-05 11:34:00,1,24.29,45.94,46.54
XAUUSD,TIGHT_RANGE,2026-01-05 11:35:00,2026-01-05 11:35:00,1,26.05,38.06,49.98
XAUUSD,LOW_LIQUIDITY,2026-01-05 11:36:00,2026-01-05 11:36:00,1,26.34,36.37,50.59
XAUUSD,TIGHT_RANGE,2026-01-05 11:37:00,2026-01-05 11:47:00,11,20.32,45.51,44.62
XAUUSD,LOW_LIQUIDITY,2026-01-05 11:48:00,2026-01-05 11:55:00,8,45.84,26.56,62.91
XAUUSD,TIGHT_RANGE,2026-01-05 11:56:00,2026-01-05 11:56:00,1,20.1,39.75,46.7
XAUUSD,TRANSITION,2026-01-05 11:57:00,2026-01-05 12:14:00,18,28.11,35.67,51.59
XAUUSD,WIDE_RANGE,2026-01-05 12:15:00,2026-01-05 12:15:00,1,33.47,40.36,52.32
XAUUSD,TRANSITION,2026-01-05 12:16:00,2026-01-05 13:50:00,95,26.23,37.7,49.97
XAUUSD,TIGHT_RANGE,2026-01-05 13:51:00,2026-01-05 13:51:00,1,24.44,39.78,48.62
XAUUSD,TRANSITION,2026-01-05 13:52:00,2026-01-05 14:21:00,30,29.39,40.64,50.55
XAUUSD,WIDE_RANGE,2026-01-05 14:22:00,2026-01-05 14:23:00,2,31.35,50.28,48.05
XAUUSD,TRANSITION,2026-01-05 14:24:00,2026-01-05 14:24:00,1,32.94,45.27,50.45
XAUUSD,WIDE_RANGE,2026-01-05 14:25:00,2026-01-05 14:25:00,1,29.04,46.75,48.13
XAUUSD,TRANSITION,2026-01-05 14:26:00,2026-01-05 16:23:00,118,29.87,36.59,52.03
XAUUSD,LOW_LIQUIDITY,2026-01-05 16:24:00,2026-01-05 16:24:00,1,27.61,34.81,51.59
XAUUSD,TIGHT_RANGE,2026-01-05 16:25:00,2026-01-05 16:28:00,4,20.52,42.67,45.71
XAUUSD,LOW_LIQUIDITY,2026-01-05 16:29:00,2026-01-05 16:29:00,1,30.74,31.31,54.35
XAUUSD,TIGHT_RANGE,2026-01-05 16:30:00,2026-01-05 16:37:00,8,20.43,42.54,45.79
XAUUSD,LOW_LIQUIDITY,2026-01-05 16:38:00,2026-01-05 16:43:00,6,27.64,32.88,52.99
XAUUSD,TIGHT_RANGE,2026-01-05 16:44:00,2026-01-05 16:48:00,5,20.09,41.51,47.06
XAUUSD,TRANSITION,2026-01-05 16:49:00,2026-01-05 16:50:00,2,30.39,29.74,55.65
XAUUSD,TIGHT_RANGE,2026-01-05 16:51:00,2026-01-05 16:51:00,1,24.87,43.62,48.3
XAUUSD,TRANSITION,2026-01-05 16:52:00,2026-01-05 16:52:00,1,26.28,39.86,50.27
XAUUSD,TIGHT_RANGE,2026-01-05 16:53:00,2026-01-05 16:55:00,3,20.42,45.42,45.52
XAUUSD,LOW_LIQUIDITY,2026-01-05 16:56:00,2026-01-05 16:56:00,1,26.01,40.18,49.66
XAUUSD,TRANSITION,2026-01-05 16:57:00,2026-01-05 18:13:00,17,41.47,36.6,51.27
XAUUSD,WIDE_RANGE,2026-01-05 18:14:00,2026-01-05 18:23:00,10,20.54,57.22,30.11
